female_adjective,female_count,male_adjective,male_count
external,204855,external,196983
first,151833,first,142686
early,129341,early,109057
american,120934,american,102536
female,110370,former,80857
personal,89438,male,80074
other,88600,other,78456
second,64733,second,69624
former,63188,professional,64312
several,62131,personal,62865
new,58189,new,58916
young,56418,several,58913
many,55862,many,54363
such,55382,high,52863
high,52626,same,47501
national,52108,international,47075
same,51355,more,46212
more,49643,good,45456
international,49461,last,45178
good,48076,such,44651
old,44612,national,44495
own,40851,english,42525
british,39859,young,41120
last,39028,british,37985
public,37859,old,37453
olympic,36610,political,36380
english,36014,own,34820
short,34975,third,34755
political,34866,final,34543
married,34268,late,34144
professional,33781,major,32851
third,33367,great,32640
present,32482,full,31563
late,32303,military,31541
various,32258,senior,30571
final,31167,most,29687
full,31126,public,29641
social,31116,local,29272
different,30324,various,29063
musical,30241,large,28736
official,29156,next,28568
local,28959,long,27444
great,28010,german,26682
long,27897,general,26546
small,26821,active,26296
major,26094,short,26029
active,26016,few,24684
german,25675,official,24558
academic,25490,only,24513
only,24857,small,24408
large,24856,top,23961
most,24419,olympic,23550
senior,24382,present,22610
next,23323,french,22177
top,23323,further,22120
french,23187,free,21564
few,23035,different,21393
single,22189,academic,21090
main,20712,successful,20802
popular,20683,regular,20419
private,20568,italian,19913
numerous,20523,musical,19638
multiple,20046,single,19468
original,19511,private,19408
canadian,19424,married,19093
african,19359,main,19040
special,18563,original,18496
successful,18524,numerous,18311
general,18353,right,17929
further,18321,important,17905
australian,18019,following,17347
little,17735,popular,17157
italian,17330,australian,16756
black,16942,fourth,16699
notable,16690,much,16474
indian,16073,canadian,16337
much,15936,special,16282
fourth,15885,multiple,16205
free,15417,social,15956
big,15383,notable,15467
human,15144,indian,15458
following,15123,able,15169
regular,15054,big,15076
contemporary,14943,modern,14870
medical,14813,close,14848
important,14778,strong,14456
white,14712,african,14265
able,14650,famous,14249
russian,14391,russian,14039
japanese,13806,little,13879
real,13685,previous,13683
strong,13597,left,13420
independent,13564,chief,13379
close,13563,low,13377
modern,13411,prominent,13314
south,13356,unknown,13310
jewish,13075,civil,13207
european,12979,assistant,13197
current,12693,real,12975
cultural,12621,2nd,12803
literary,12413,independent,12537
annual,12378,current,12320
famous,12358,dead,12181
chinese,12302,south,12051
previous,12267,later,11987
fifth,12217,fifth,11922
prominent,12029,european,11829
critical,12003,4th,11814
true,11979,medical,11728
artistic,11964,jewish,11421
civil,11756,significant,11408
dead,11554,japanese,11390
executive,11489,wide,11354
significant,11475,1st,11254
legal,11469,future,11234
classical,11379,minor,11200
open,11322,central,11083
wide,11282,legal,11017
right,11125,black,10984
middle,10972,western,10925
individual,10970,financial,10888
primary,10922,religious,10670
assistant,10742,true,10640
interested,10631,5th,10475
historical,10616,responsible,10445
live,10583,irish,10436
low,10572,latter,10364
traditional,10531,anti,10362
later,10430,foreign,10276
religious,10212,overall,10198
honorary,10178,junior,10196
solo,10157,open,10142
anti,9897,white,10121
mixed,9887,democratic,10013
spanish,9793,3rd,9951
future,9755,honorary,9905
recent,9668,classical,9868
junior,9652,historical,9858
financial,9612,entire,9847
domestic,9489,contemporary,9841
democratic,9367,primary,9785
double,9324,additional,9721
particular,9210,similar,9637
